2.15513 89265.2
2.16142 88880.3
2.1677 88498.3
2.17398 88119.2
2.18027 87743
2.18655 87369.6
2.19283 86999.1
2.19911 86631.5
2.2054 86266.7
2.21168 85904.7
2.21796 85545.5
2.22425 85189.2
2.23053 84835.7
2.23681 84484.9
2.2431 84137
2.24938 83791.8
2.25566 83449.4
2.26195 83109.8
2.26823 82772.9
2.27451 82438.8
2.2808 82107.4
2.28708 81778.8
2.29336 81452.8
2.29965 81129.6
2.30593 80809.1
2.31221 80491.3
2.3185 80176.2
2.32478 79863.8
2.33106 79554
2.33734 79246.9
2.34363 78942.5
2.34991 78640.8
2.35619 78341.7
2.36248 78045.2
2.36876 77751.4
2.37504 77460.2
2.38133 77171.6
2.38761 76885.7
2.39389 76602.3
2.40018 76321.6
2.40646 76043.5
2.41274 75767.9
2.41903 75495
2.42531 75224.6
2.43159 74956.8
2.43788 74691.5
2.44416 74428.9
2.45044 74168.7
2.45673 73911.2
2.46301 73656.1
2.46929 73403.7
2.47558 73153.7
2.48186 72906.3
2.48814 72661.4
2.49442 72419
2.50071 72179.1
2.50699 71941.7
2.51327 71706.9
2.51956 71474.5
2.52584 71244.6
2.53212 71017.2
2.53841 70792.3
2.54469 70569.8
2.55097 70349.9
2.55726 70132.4
2.56354 69917.3
2.56982 69704.8
2.57611 69494.6
2.58239 69287
2.58867 69081.7
2.59496 68878.9
2.60124 68678.6
2.60752 68480.6
2.61381 68285.2
2.62009 68092.1
2.62637 67901.4
2.63265 67713.2
2.63894 67527.3
2.64522 67343.9
2.6515 67162.9
2.65779 66984.3
2.66407 66808.1
2.67035 66634.2
2.67664 66462.8
2.68292 66293.7
2.6892 66127
2.69549 65962.7
2.70177 65800.8
2.70805 65641.3
2.71434 65484.1
2.72062 65329.3
2.7269 65176.8
2.73319 65026.7
2.73947 64879
2.74575 64733.6
2.75204 64590.5
2.75832 64449.8
2.7646 64311.5
2.77088 64175.5
2.77717 64041.8
2.78345 63910.5
2.78973 63781.5
2.79602 63654.8
2.8023 63530.4
2.80858 63408.4
2.81487 63288.7
2.82115 63171.4
2.82743 63056.3
2.83372 62943.5
2.84 62833.1
2.84628 62725
2.85257 62619.2
2.85885 62515.7
2.86513 62414.5
2.87142 62315.6
2.8777 62219
2.88398 62124.7
2.89027 62032.7
2.89655 61943
2.90283 61855.6
2.90911 61770.5
2.9154 61687.6
2.92168 61607.1
2.92796 61528.9
2.93425 61452.9
2.94053 61379.2
2.94681 61307.8
2.9531 61238.7
2.95938 61171.8
2.96566 61107.3
2.97195 61045
2.97823 60985
2.98451 60927.2
2.9908 60871.8
2.99708 60818.6
3.00336 60767.7
3.00965 60719
3.01593 60672.6
3.02221 60628.5
3.0285 60586.7
3.03478 60547.1
3.04106 60509.8
3.04734 60474.7
3.05363 60441.9
3.05991 60411.4
3.06619 60383.2
3.07248 60357.2
3.07876 60333.4
3.08504 60312
3.09133 60292.8
3.09761 60275.8
3.10389 60261.1
3.11018 60248.7
3.11646 60238.5
3.12274 60230.6
3.12903 60225
3.13521 60221.6
